ticket_id,created_date,category,priority,assigned_team,status,resolution_time_hrs,is_escalated,server_id
TKT-169,2025-09-24,Software,P3,Team A,Open,37.03,0,Server-D
TKT-170,2025-10-20,Hardware,P1,Team C,Open,27.1,0,Server-E
TKT-171,2025-08-14,Hardware,P4,Team A,Open,66.96,0,Server-A
TKT-172,2026-02-22,Hardware,P3,Team C,Escalated,25.92,0,Server-B
TKT-173,2025-07-15,Security,P1,Team B,Open,45.96,0,Server-A
TKT-174,2025-09-01,Hardware,P4,Team D,Escalated,25.2,0,Server-C
TKT-175,2026-02-28,Software,P1,Team A,Resolved,12.18,0,Server-A
TKT-176,2025-07-20,Software,P4,Team D,Escalated,44.1,1,Server-C
TKT-177,2026-04-20,Hardware,P1,Team C,Escalated,8.87,1,Server-E
TKT-178,2026-04-16,Software,P1,Team B,Escalated,70.9,0,Server-A
TKT-179,2025-11-13,Hardware,P3,Team B,Resolved,55.26,0,Server-C
TKT-180,2025-06-25,Network,P1,Team D,Open,31.58,0,Server-D
TKT-181,2025-10-28,Hardware,P3,Team A,Escalated,62.19,0,Server-D
TKT-182,2025-09-12,Network,P4,Team A,Escalated,41.88,1,Server-D
TKT-183,2026-03-26,Software,P1,Team D,Resolved,69.6,0,Server-E
TKT-184,2025-09-17,Security,P3,Team A,Escalated,60.96,0,Server-D
TKT-185,2025-07-23,Security,P1,Team D,Escalated,53.95,0,Server-C
TKT-186,2025-11-16,Hardware,P1,Team A,Open,37.21,0,Server-C
TKT-187,2026-04-14,Hardware,P2,Team A,Resolved,19.17,0,Server-E
TKT-188,2025-07-18,Hardware,P1,Team B,Open,36.08,1,Server-E
TKT-189,2025-11-18,Software,P3,Team B,Escalated,5.85,1,Server-C
TKT-190,2025-06-09,Software,P1,Team C,Open,6.27,1,Server-D
TKT-191,2025-06-24,Network,P1,Team C,Escalated,6.45,0,Server-E
TKT-192,2026-03-26,Security,P4,Team A,Escalated,65.54,0,Server-C
TKT-193,2025-07-19,Security,P2,Team A,Escalated,8.35,0,Server-A
TKT-194,2026-01-09,Hardware,P1,Team B,Open,32.08,1,Server-E
TKT-195,2026-05-10,Hardware,P3,Team C,Escalated,28.51,0,Server-E
TKT-196,2025-10-29,Network,P3,Team A,Escalated,7.71,1,Server-C
TKT-197,2025-10-16,Software,P2,Team C,Resolved,42.37,0,Server-C
TKT-198,2026-06-03,Software,P4,Team B,Open,51.33,0,Server-C
TKT-199,2026-05-11,Security,P3,Team B,Open,50.9,0,Server-D
TKT-200,2025-06-28,Software,P1,Team C,Escalated,13.8,0,Server-C
TKT-201,2026-04-07,Security,P2,Team B,Resolved,12.0,0,Server-A
TKT-202,2025-12-26,Network,P3,Team B,Open,27.75,0,Server-B
TKT-203,2025-12-17,Hardware,P4,Team A,Escalated,26.87,0,Server-D
TKT-204,2026-03-09,Software,P4,Team B,Open,17.98,1,Server-B
TKT-205,2026-01-18,Software,P4,Team D,Escalated,56.25,1,Server-B
TKT-206,2025-10-20,Hardware,P2,Team C,Resolved,46.52,0,Server-E
TKT-207,2025-12-25,Network,P1,Team C,Resolved,55.18,0,Server-D
TKT-208,2026-01-31,Hardware,P4,Team A,Resolved,58.99,0,Server-A
TKT-209,2025-12-23,Security,P1,Team D,Open,27.55,1,Server-A
TKT-210,2026-02-19,Software,P2,Team A,Escalated,67.09,0,Server-B
TKT-211,2025-10-11,Hardware,P1,Team C,Escalated,50.42,0,Server-D
TKT-212,2026-02-17,Security,P1,Team A,Resolved,19.17,0,Server-E
TKT-213,2025-12-30,Security,P1,Team C,Resolved,22.38,0,Server-B
TKT-214,2026-04-29,Security,P4,Team A,Resolved,60.4,1,Server-E
TKT-215,2026-02-22,Network,P2,Team B,Escalated,31.48,0,Server-B
TKT-216,2025-08-11,Security,P2,Team A,Open,70.2,0,Server-E
TKT-217,2025-06-21,Network,P4,Team D,Resolved,46.13,0,Server-C
TKT-218,2026-02-23,Network,P3,Team A,Escalated,18.12,0,Server-E
TKT-219,2026-02-24,Software,P2,Team A,Escalated,39.77,0,Server-D
TKT-220,2025-06-08,Security,P2,Team B,Resolved,51.84,1,Server-A
TKT-221,2026-05-16,Software,P2,Team A,Resolved,63.89,0,Server-C
TKT-222,2026-02-11,Security,P4,Team C,Resolved,54.48,0,Server-C
TKT-223,2025-07-09,Software,P1,Team C,Escalated,9.84,0,Server-D
TKT-224,2025-06-18,Security,P4,Team D,Escalated,70.13,1,Server-D
TKT-225,2025-08-18,Software,P3,Team A,Open,31.14,1,Server-E
TKT-226,2026-04-27,Hardware,P3,Team C,Resolved,6.68,0,Server-C
TKT-227,2026-05-06,Security,P4,Team B,Open,32.52,1,Server-A
TKT-228,2025-12-09,Software,P4,Team C,Open,70.58,0,Server-A
TKT-229,2025-09-15,Security,P3,Team B,Resolved,11.14,1,Server-A
TKT-230,2025-11-14,Hardware,P1,Team B,Open,27.01,1,Server-E
TKT-231,2026-04-24,Network,P2,Team D,Escalated,27.41,0,Server-E
TKT-232,2026-01-16,Hardware,P3,Team D,Escalated,47.12,0,Server-A
TKT-233,2025-10-03,Network,P2,Team D,Open,28.48,0,Server-C
TKT-234,2025-10-21,Software,P4,Team B,Open,21.28,1,Server-B
TKT-235,2026-01-18,Network,P2,Team A,Escalated,13.26,1,Server-A
TKT-236,2026-04-30,Software,P3,Team A,Open,39.49,0,Server-B
TKT-237,2025-06-19,Hardware,P3,Team B,Resolved,70.94,0,Server-B
TKT-238,2025-12-04,Security,P1,Team C,Open,41.63,1,Server-E
TKT-239,2025-12-01,Hardware,P1,Team A,Escalated,29.27,1,Server-E
TKT-240,2026-05-13,Security,P4,Team A,Resolved,70.04,0,Server-D
TKT-241,2025-10-23,Security,P3,Team B,Open,46.43,0,Server-B
TKT-242,2026-05-30,Security,P1,Team A,Open,11.86,0,Server-B
TKT-243,2026-02-15,Software,P2,Team C,Open,64.54,0,Server-C
TKT-244,2025-09-29,Hardware,P3,Team B,Open,22.5,0,Server-E
TKT-245,2025-07-25,Hardware,P2,Team B,Open,45.34,0,Server-E
TKT-246,2025-12-21,Network,P1,Team A,Resolved,68.35,0,Server-B
TKT-247,2025-10-19,Security,P1,Team D,Open,39.74,0,Server-D
TKT-248,2025-09-30,Hardware,P4,Team C,Escalated,6.18,0,Server-B
TKT-249,2025-07-31,Security,P4,Team D,Escalated,15.49,0,Server-C
TKT-250,2026-04-22,Software,P3,Team D,Resolved,55.01,0,Server-C
TKT-251,2025-08-19,Hardware,P4,Team A,Escalated,32.92,0,Server-A
TKT-252,2026-03-24,Network,P3,Team D,Open,30.69,0,Server-C
TKT-253,2025-09-16,Software,P2,Team B,Escalated,71.71,1,Server-D
TKT-254,2025-10-07,Software,P4,Team A,Resolved,68.11,1,Server-B
TKT-255,2026-04-09,Hardware,P3,Team A,Resolved,20.98,1,Server-C
TKT-256,2025-09-01,Network,P1,Team D,Resolved,63.65,0,Server-D
TKT-257,2026-04-07,Software,P1,Team D,Resolved,41.49,0,Server-C
TKT-258,2025-07-17,Software,P1,Team D,Open,32.98,0,Server-E
TKT-259,2025-08-06,Network,P2,Team A,Escalated,27.5,0,Server-E
TKT-260,2025-11-09,Software,P2,Team B,Open,37.15,0,Server-A
TKT-261,2025-06-25,Network,P2,Team C,Escalated,37.87,0,Server-E
TKT-262,2026-04-11,Hardware,P3,Team C,Resolved,28.9,0,Server-E
TKT-263,2025-11-09,Software,P4,Team C,Escalated,58.92,0,Server-C
TKT-264,2026-06-01,Network,P4,Team C,Open,62.92,0,Server-E
TKT-265,2026-03-04,Security,P3,Team B,Open,4.65,1,Server-B
TKT-266,2025-06-28,Security,P2,Team B,Resolved,41.65,0,Server-B
TKT-267,2025-10-17,Network,P4,Team C,Escalated,11.75,0,Server-D
TKT-268,2026-01-18,Security,P1,Team B,Open,15.72,0,Server-D
TKT-269,2025-10-18,Security,P3,Team B,Escalated,65.76,0,Server-E
TKT-270,2026-05-15,Software,P3,Team D,Resolved,68.97,0,Server-E
TKT-271,2025-12-10,Software,P2,Team C,Escalated,51.05,1,Server-C
TKT-272,2025-10-12,Security,P3,Team C,Escalated,9.65,1,Server-D
TKT-273,2026-02-26,Software,P2,Team C,Resolved,21.42,0,Server-C
TKT-274,2025-11-25,Security,P3,Team D,Resolved,15.35,0,Server-E
TKT-275,2026-01-27,Software,P2,Team A,Open,53.6,0,Server-B
TKT-276,2025-11-29,Network,P2,Team B,Resolved,8.11,0,Server-D
TKT-277,2025-07-29,Network,P2,Team A,Open,70.43,0,Server-D
TKT-278,2025-06-24,Security,P4,Team B,Escalated,23.8,0,Server-A
TKT-279,2025-06-29,Hardware,P1,Team B,Escalated,63.64,0,Server-A
TKT-280,2025-09-12,Security,P4,Team B,Open,69.31,0,Server-A
TKT-281,2025-08-05,Network,P3,Team A,Escalated,21.2,1,Server-B
TKT-282,2026-02-23,Security,P3,Team B,Resolved,24.48,1,Server-C
TKT-283,2026-01-14,Hardware,P1,Team C,Escalated,41.31,0,Server-B
TKT-284,2025-10-01,Security,P4,Team C,Resolved,29.46,0,Server-B
TKT-285,2025-08-30,Hardware,P4,Team C,Resolved,1.48,1,Server-B
TKT-286,2026-02-01,Security,P3,Team C,Escalated,42.35,0,Server-C
TKT-287,2025-07-02,Software,P2,Team A,Open,9.39,0,Server-B
TKT-288,2026-05-08,Security,P3,Team A,Open,66.05,0,Server-C
TKT-289,2026-05-17,Hardware,P2,Team B,Escalated,11.88,0,Server-D
TKT-290,2025-09-10,Security,P2,Team B,Open,54.59,0,Server-E
TKT-291,2025-07-09,Security,P3,Team A,Open,8.97,0,Server-E
TKT-292,2025-11-04,Hardware,P2,Team C,Open,32.37,0,Server-E
TKT-293,2025-09-21,Security,P1,Team D,Resolved,33.19,1,Server-D
TKT-294,2025-09-23,Network,P4,Team C,Open,2.55,0,Server-A
TKT-295,2025-12-29,Hardware,P1,Team A,Escalated,25.46,0,Server-E
TKT-296,2025-09-16,Network,P1,Team D,Resolved,21.38,0,Server-B
TKT-297,2026-01-17,Security,P3,Team D,Escalated,62.74,1,Server-D
TKT-298,2026-04-25,Network,P2,Team C,Resolved,13.67,1,Server-E
TKT-299,2026-03-27,Hardware,P2,Team A,Resolved,70.47,1,Server-E
TKT-300,2026-03-06,Security,P4,Team B,Resolved,33.7,0,Server-C
TKT-301,2025-12-21,Hardware,P1,Team A,Open,30.77,0,Server-B
TKT-302,2026-05-16,Hardware,P1,Team A,Open,3.38,0,Server-B
TKT-303,2026-02-11,Network,P4,Team D,Resolved,39.32,0,Server-B
TKT-304,2025-09-02,Software,P2,Team C,Open,43.45,0,Server-B
TKT-305,2026-04-04,Software,P2,Team B,Escalated,22.34,0,Server-E
TKT-306,2026-03-21,Hardware,P4,Team D,Resolved,70.03,1,Server-E
TKT-307,2025-10-27,Software,P4,Team D,Resolved,22.29,0,Server-E
TKT-308,2026-02-15,Security,P2,Team B,Escalated,61.89,0,Server-D
TKT-309,2025-12-30,Network,P4,Team D,Open,38.63,1,Server-B
TKT-310,2026-01-03,Software,P2,Team C,Open,6.61,1,Server-C
TKT-311,2025-08-25,Network,P2,Team A,Escalated,27.78,0,Server-A
TKT-312,2025-09-11,Hardware,P2,Team D,Resolved,62.73,0,Server-C
TKT-313,2025-12-03,Network,P2,Team B,Open,9.33,1,Server-B
TKT-314,2025-10-01,Hardware,P4,Team B,Open,23.83,0,Server-D
TKT-315,2025-06-09,Security,P3,Team C,Escalated,26.53,1,Server-D
TKT-316,2025-07-08,Network,P4,Team C,Resolved,27.32,1,Server-A
TKT-317,2025-10-04,Hardware,P2,Team A,Escalated,40.29,1,Server-C
TKT-318,2026-05-04,Hardware,P2,Team C,Resolved,27.97,0,Server-D
TKT-319,2026-03-13,Software,P3,Team D,Open,46.56,1,Server-D
TKT-320,2025-07-20,Hardware,P3,Team B,Resolved,52.14,1,Server-B
TKT-321,2025-09-15,Network,P1,Team A,Open,4.44,0,Server-D
TKT-322,2026-05-01,Hardware,P2,Team A,Open,11.72,0,Server-E
TKT-323,2026-01-02,Security,P3,Team A,Open,46.28,1,Server-D
TKT-324,2026-01-07,Network,P1,Team D,Resolved,2.19,0,Server-E
TKT-325,2026-04-04,Software,P1,Team D,Resolved,8.6,0,Server-E
TKT-326,2025-09-01,Hardware,P2,Team B,Open,38.38,0,Server-C
TKT-327,2025-06-26,Security,P1,Team C,Escalated,33.59,0,Server-B
TKT-328,2026-04-26,Software,P1,Team A,Resolved,29.77,1,Server-E
TKT-329,2025-12-23,Security,P1,Team A,Open,13.17,1,Server-D
TKT-330,2026-01-07,Software,P1,Team A,Resolved,16.01,1,Server-C
TKT-331,2025-09-08,Network,P1,Team C,Open,41.01,0,Server-B
TKT-332,2025-08-21,Software,P1,Team B,Open,11.24,1,Server-A
TKT-333,2025-08-22,Software,P2,Team B,Open,60.26,1,Server-E
TKT-334,2025-07-03,Software,P4,Team B,Open,52.42,0,Server-A
TKT-335,2025-07-30,Network,P4,Team B,Resolved,25.18,1,Server-C
TKT-336,2025-09-20,Network,P3,Team D,Escalated,17.2,1,Server-D
TKT-337,2025-06-28,Hardware,P4,Team A,Open,21.97,0,Server-A
TKT-338,2025-12-13,Network,P3,Team B,Escalated,51.53,0,Server-D
TKT-339,2025-12-17,Software,P3,Team A,Resolved,1.37,0,Server-D
TKT-340,2026-04-16,Software,P3,Team A,Resolved,7.2,1,Server-D
TKT-341,2026-03-11,Security,P1,Team A,Resolved,26.13,0,Server-E
TKT-342,2026-01-15,Software,P4,Team A,Escalated,30.38,0,Server-E
TKT-343,2025-06-19,Hardware,P2,Team D,Resolved,10.86,0,Server-C
TKT-344,2025-06-23,Security,P2,Team A,Resolved,31.86,1,Server-C
TKT-345,2025-07-15,Security,P1,Team C,Escalated,68.04,1,Server-E
TKT-346,2026-02-25,Hardware,P4,Team A,Resolved,22.63,1,Server-C
TKT-347,2025-12-17,Security,P3,Team D,Escalated,31.57,0,Server-C
TKT-348,2026-04-09,Software,P2,Team D,Escalated,13.61,1,Server-C
TKT-349,2025-09-04,Software,P4,Team B,Escalated,27.7,1,Server-C
TKT-350,2025-11-18,Network,P2,Team B,Open,55.5,0,Server-D
TKT-351,2026-01-29,Hardware,P4,Team C,Open,5.91,1,Server-D
TKT-352,2025-09-19,Hardware,P3,Team B,Escalated,47.77,1,Server-D
TKT-353,2026-04-14,Network,P4,Team D,Open,29.46,1,Server-E
TKT-354,2025-09-06,Network,P3,Team A,Resolved,55.6,0,Server-B
TKT-355,2025-06-07,Network,P4,Team C,Escalated,8.52,0,Server-C
TKT-356,2025-10-09,Hardware,P2,Team D,Escalated,28.77,0,Server-C
TKT-357,2025-08-20,Network,P4,Team A,Escalated,30.53,0,Server-A
