log_id,timestamp,server_id,log_level,uptime_percentage,response_time_ms
LOG-124,2025-11-30 02:02:26,Server-C,INFO,85.41,749.47
LOG-125,2026-04-23 07:24:12,Server-D,INFO,96.76,1151.56
LOG-126,2026-01-12 18:04:36,Server-D,WARN,93.68,379.18
LOG-127,2026-01-05 00:46:39,Server-D,INFO,94.96,1419.37
LOG-128,2025-09-04 17:09:01,Server-D,ERROR,94.79,916.99
LOG-129,2026-03-03 17:11:21,Server-D,CRITICAL,89.2,414.0
LOG-130,2025-06-18 19:19:22,Server-C,ERROR,97.03,619.0
LOG-131,2025-09-28 07:39:47,Server-D,ERROR,94.75,1342.0
LOG-132,2026-03-14 07:25:33,Server-C,ERROR,94.87,1316.38
LOG-133,2026-02-24 02:43:02,Server-A,WARN,95.25,1191.32
LOG-134,2025-11-10 21:02:04,Server-C,INFO,90.24,989.45
LOG-135,2026-05-24 10:51:27,Server-E,WARN,86.34,1616.11
LOG-136,2025-09-06 07:06:24,Server-E,CRITICAL,85.06,650.37
LOG-137,2025-09-07 22:10:04,Server-C,INFO,92.33,437.88
LOG-138,2026-04-14 23:28:39,Server-A,INFO,99.78,411.58
LOG-139,2025-10-28 17:14:03,Server-A,INFO,93.28,1946.63
LOG-140,2026-04-10 15:39:12,Server-C,ERROR,88.19,1652.38
LOG-141,2025-10-05 19:15:06,Server-B,WARN,98.1,1088.47
LOG-142,2025-08-15 10:25:35,Server-E,WARN,90.43,1734.04
LOG-143,2026-05-06 18:19:39,Server-B,INFO,98.66,580.29
LOG-144,2026-05-13 02:01:44,Server-B,ERROR,87.62,1610.23
LOG-145,2026-04-06 09:27:54,Server-A,INFO,85.72,335.51
LOG-146,2026-02-20 08:19:13,Server-C,CRITICAL,85.99,1586.15
LOG-147,2026-04-10 20:56:05,Server-E,ERROR,90.98,1543.62
LOG-148,2025-09-14 17:45:24,Server-E,INFO,89.07,400.08
LOG-149,2025-07-02 14:07:17,Server-C,INFO,89.27,1809.3
LOG-150,2025-07-13 02:50:12,Server-E,CRITICAL,85.32,925.07
LOG-151,2026-04-03 12:29:11,Server-C,CRITICAL,90.43,922.01
LOG-152,2025-11-24 08:31:27,Server-E,WARN,87.06,219.03
LOG-153,2025-10-29 06:32:55,Server-B,ERROR,86.57,301.66
LOG-154,2025-12-22 22:13:02,Server-A,INFO,87.15,1283.19
LOG-155,2025-07-10 19:58:34,Server-D,INFO,90.83,1328.16
LOG-156,2025-12-16 22:01:49,Server-C,WARN,87.32,226.0
LOG-157,2025-11-23 21:38:09,Server-B,WARN,89.52,1295.26
LOG-158,2025-08-08 07:00:13,Server-B,CRITICAL,99.11,1873.77
LOG-159,2025-10-21 19:11:49,Server-A,WARN,98.18,657.94
LOG-160,2026-05-11 03:44:27,Server-A,WARN,99.87,370.4
LOG-161,2026-04-16 05:31:33,Server-E,INFO,90.15,1281.2
LOG-162,2025-07-09 23:29:00,Server-A,CRITICAL,88.14,1872.29
LOG-163,2025-10-18 06:32:18,Server-E,CRITICAL,87.34,1280.7
LOG-164,2025-11-30 13:07:42,Server-B,INFO,92.01,1035.72
LOG-165,2026-03-03 21:15:42,Server-D,INFO,87.86,1572.84
LOG-166,2025-07-07 12:13:06,Server-C,INFO,90.78,189.23
LOG-167,2025-08-26 10:37:27,Server-B,INFO,98.84,130.08
LOG-168,2025-09-10 23:19:30,Server-B,INFO,99.69,1554.42
LOG-169,2025-08-05 23:27:46,Server-E,WARN,86.51,1542.08
LOG-170,2025-06-25 15:07:14,Server-D,ERROR,99.9,1405.55
LOG-171,2026-02-23 06:58:35,Server-E,CRITICAL,85.01,558.36
LOG-172,2025-09-05 12:39:22,Server-D,ERROR,97.42,1567.57
LOG-173,2025-10-24 06:27:15,Server-A,INFO,89.25,415.87
LOG-174,2026-02-03 13:55:17,Server-E,CRITICAL,93.24,245.69
LOG-175,2025-10-26 12:30:56,Server-A,WARN,98.96,1321.72
LOG-176,2026-01-24 13:16:59,Server-D,INFO,95.37,660.57
LOG-177,2025-08-27 22:21:02,Server-E,CRITICAL,96.53,1202.09
LOG-178,2025-10-10 07:23:22,Server-A,WARN,85.92,918.22
LOG-179,2026-01-19 22:49:59,Server-A,ERROR,96.51,176.46
LOG-180,2026-05-27 15:35:45,Server-C,WARN,85.5,825.21
LOG-181,2026-05-13 20:43:13,Server-C,ERROR,92.63,59.39
LOG-182,2025-06-30 04:59:42,Server-A,CRITICAL,98.62,317.42
LOG-183,2026-02-16 07:22:18,Server-D,INFO,94.69,1619.53
LOG-184,2026-06-03 15:55:43,Server-B,INFO,99.59,1255.79
LOG-185,2025-07-03 15:36:45,Server-B,INFO,98.71,969.02
LOG-186,2026-03-03 22:15:59,Server-E,WARN,88.83,117.84
LOG-187,2026-05-21 22:34:26,Server-B,CRITICAL,98.38,876.26
LOG-188,2026-02-19 17:35:03,Server-A,WARN,93.03,1845.76
LOG-189,2025-07-31 14:14:55,Server-B,INFO,92.72,1980.26
LOG-190,2025-07-25 06:36:23,Server-E,CRITICAL,91.15,1777.64
LOG-191,2025-07-21 23:38:38,Server-E,INFO,97.71,1050.26
LOG-192,2025-12-06 09:11:51,Server-D,WARN,86.3,1959.83
LOG-193,2025-11-14 07:50:20,Server-D,WARN,91.29,253.45
LOG-194,2026-02-26 06:05:33,Server-A,WARN,90.04,1842.15
LOG-195,2025-10-20 01:11:18,Server-D,WARN,88.78,650.93
LOG-196,2025-07-22 03:19:10,Server-D,CRITICAL,90.35,1436.84
LOG-197,2025-12-06 09:00:32,Server-E,ERROR,98.43,78.45
LOG-198,2025-10-25 18:30:26,Server-C,CRITICAL,87.26,913.96
LOG-199,2025-12-17 20:31:47,Server-E,WARN,95.08,1024.94
LOG-200,2026-04-03 12:13:41,Server-C,WARN,91.95,1603.3
LOG-201,2025-09-25 04:31:26,Server-C,CRITICAL,97.55,1909.8
LOG-202,2026-02-23 11:31:46,Server-B,INFO,89.22,93.25
LOG-203,2026-05-12 11:50:16,Server-A,ERROR,96.59,1662.56
LOG-204,2026-01-04 13:11:53,Server-D,INFO,97.0,1948.12
LOG-205,2026-01-17 21:36:57,Server-B,ERROR,94.73,1361.06
LOG-206,2026-02-19 14:12:45,Server-D,CRITICAL,88.28,258.95
LOG-207,2026-03-02 12:44:46,Server-E,CRITICAL,94.8,629.81
LOG-208,2025-08-21 17:12:17,Server-E,CRITICAL,89.92,1363.0
LOG-209,2025-11-01 08:06:00,Server-B,WARN,97.38,1141.37
LOG-210,2025-09-06 15:15:01,Server-C,CRITICAL,93.42,469.61
LOG-211,2026-04-10 22:27:18,Server-C,INFO,89.76,1406.71
LOG-212,2026-05-12 21:13:58,Server-D,INFO,92.94,832.27
LOG-213,2025-12-11 17:14:14,Server-D,WARN,90.8,1328.95
LOG-214,2026-04-28 05:54:07,Server-A,WARN,95.45,928.27
LOG-215,2025-08-23 13:16:01,Server-A,WARN,88.84,1024.54
LOG-216,2025-12-06 18:32:47,Server-E,WARN,90.17,1838.17
LOG-217,2025-11-21 07:51:22,Server-E,ERROR,87.19,1387.41
LOG-218,2025-06-16 07:23:02,Server-E,WARN,87.11,1053.58
LOG-219,2025-11-15 12:56:08,Server-D,ERROR,88.62,94.54
LOG-220,2025-10-19 14:21:12,Server-B,CRITICAL,98.86,340.14
LOG-221,2025-10-07 12:51:29,Server-E,ERROR,89.51,1110.11
LOG-222,2026-02-08 19:20:11,Server-E,CRITICAL,97.81,508.86
LOG-223,2025-06-16 22:19:16,Server-A,WARN,94.3,346.83
LOG-224,2025-08-06 20:59:11,Server-E,CRITICAL,98.05,866.21
LOG-225,2025-06-28 14:02:36,Server-C,INFO,92.62,948.38
LOG-226,2026-01-21 06:25:39,Server-E,ERROR,90.08,730.34
LOG-227,2026-03-18 19:47:47,Server-C,ERROR,91.37,1012.28
LOG-228,2025-09-28 14:34:56,Server-C,ERROR,90.14,1861.61
LOG-229,2025-12-25 22:55:54,Server-E,INFO,86.62,1198.48
LOG-230,2026-03-19 15:05:26,Server-A,CRITICAL,91.28,1778.44
LOG-231,2026-04-27 18:09:13,Server-B,INFO,96.9,1727.66
LOG-232,2026-05-06 05:41:51,Server-B,ERROR,87.36,1752.45
LOG-233,2025-08-28 17:32:39,Server-E,CRITICAL,90.32,84.85
LOG-234,2025-11-17 06:20:25,Server-D,ERROR,92.09,404.72
LOG-235,2025-09-27 10:53:57,Server-E,ERROR,94.38,1029.17
LOG-236,2026-03-09 12:31:54,Server-D,ERROR,91.35,912.95
LOG-237,2026-05-23 21:52:15,Server-C,ERROR,88.02,1119.07
LOG-238,2025-11-28 23:48:00,Server-D,WARN,87.9,945.91
LOG-239,2026-03-15 09:44:43,Server-C,INFO,88.67,1133.08
LOG-240,2026-06-03 17:42:52,Server-B,CRITICAL,98.32,600.42
LOG-241,2026-01-22 05:57:05,Server-C,WARN,90.14,1276.68
LOG-242,2026-02-24 11:33:01,Server-A,WARN,91.23,1655.61
LOG-243,2025-11-19 15:10:15,Server-B,ERROR,91.43,599.58
LOG-244,2026-03-23 19:28:49,Server-D,ERROR,98.07,587.27
LOG-245,2025-11-28 18:19:05,Server-B,ERROR,98.38,1556.59
LOG-246,2025-08-18 07:42:06,Server-B,WARN,94.68,1697.05
LOG-247,2026-05-20 14:01:14,Server-E,WARN,89.66,1593.56
LOG-248,2025-07-12 21:11:35,Server-E,CRITICAL,88.37,723.14
LOG-249,2026-01-01 14:09:56,Server-C,ERROR,94.99,774.05
LOG-250,2025-07-18 07:07:27,Server-A,WARN,95.73,553.3
LOG-251,2025-12-16 16:12:01,Server-C,INFO,87.44,433.42
LOG-252,2025-12-30 21:41:05,Server-C,CRITICAL,97.18,421.79
LOG-253,2025-09-13 11:11:31,Server-D,CRITICAL,98.7,1206.62
LOG-254,2025-12-18 15:31:45,Server-C,ERROR,91.62,609.97
LOG-255,2026-01-16 00:55:42,Server-E,INFO,93.33,1051.51
LOG-256,2025-12-01 23:00:38,Server-B,CRITICAL,95.44,344.15
LOG-257,2025-06-29 03:21:50,Server-E,CRITICAL,99.88,168.1
LOG-258,2026-02-27 23:30:23,Server-C,INFO,85.71,1429.62
LOG-259,2025-10-29 09:22:27,Server-A,CRITICAL,90.86,1903.5
LOG-260,2025-11-05 11:17:45,Server-D,CRITICAL,93.97,1964.43
LOG-261,2025-09-20 11:04:18,Server-A,INFO,90.57,826.13
LOG-262,2026-05-05 17:43:19,Server-A,WARN,97.11,1230.48
LOG-263,2025-06-22 00:11:49,Server-C,WARN,93.65,1465.55
LOG-264,2026-02-21 23:15:24,Server-C,CRITICAL,95.75,984.5
LOG-265,2025-09-18 19:50:45,Server-E,INFO,96.78,1223.92
LOG-266,2026-02-13 02:54:49,Server-E,INFO,88.93,1295.71
LOG-267,2025-12-24 01:15:22,Server-E,CRITICAL,99.34,688.54
LOG-268,2026-04-13 08:27:26,Server-A,CRITICAL,90.04,1021.31
LOG-269,2025-11-20 01:34:23,Server-D,ERROR,98.25,1579.56
LOG-270,2025-11-26 04:39:58,Server-B,CRITICAL,88.56,564.43
LOG-271,2025-06-12 11:36:03,Server-C,WARN,98.62,788.17
LOG-272,2025-06-07 14:15:18,Server-C,ERROR,96.96,427.94
LOG-273,2026-03-28 00:21:14,Server-A,CRITICAL,89.13,413.66
LOG-274,2025-11-14 10:02:10,Server-D,ERROR,96.43,1340.16
LOG-275,2026-04-29 08:08:57,Server-A,ERROR,89.4,1378.46
LOG-276,2026-01-25 19:10:01,Server-C,INFO,99.84,74.57
LOG-277,2025-12-23 21:28:32,Server-C,INFO,86.4,524.15
LOG-278,2026-05-05 03:43:31,Server-A,ERROR,96.11,930.33
LOG-279,2025-10-31 04:34:06,Server-A,INFO,95.26,1524.66
LOG-280,2025-10-13 12:49:07,Server-E,INFO,99.05,709.96
LOG-281,2025-08-19 22:43:25,Server-E,WARN,90.47,1713.59
LOG-282,2025-10-31 14:27:35,Server-E,ERROR,88.77,327.97
LOG-283,2025-12-15 18:54:54,Server-E,CRITICAL,88.08,305.07
LOG-284,2025-06-12 01:30:15,Server-D,ERROR,99.09,1002.68
LOG-285,2026-06-03 08:41:26,Server-B,WARN,94.71,1249.0
LOG-286,2026-05-14 23:14:44,Server-A,WARN,98.57,78.95
LOG-287,2025-11-03 09:54:37,Server-A,CRITICAL,93.02,479.05
LOG-288,2025-11-04 12:24:22,Server-E,ERROR,94.5,1735.58
LOG-289,2025-07-21 07:19:12,Server-D,ERROR,91.43,1604.51
LOG-290,2025-09-10 08:18:27,Server-D,CRITICAL,91.31,1636.41
LOG-291,2025-09-08 03:12:16,Server-B,ERROR,86.65,991.77
LOG-292,2026-03-07 20:36:33,Server-E,INFO,95.1,1088.82
LOG-293,2025-10-08 01:13:34,Server-A,ERROR,89.85,1937.4
LOG-294,2025-12-28 06:09:14,Server-D,CRITICAL,98.05,1684.17
LOG-295,2025-12-14 19:59:42,Server-A,INFO,86.85,343.31
LOG-296,2026-05-14 09:53:49,Server-D,CRITICAL,98.39,208.9
LOG-297,2026-05-19 23:24:12,Server-D,INFO,88.05,1439.71
LOG-298,2026-05-15 20:25:11,Server-A,WARN,96.97,1772.4
LOG-299,2025-06-09 18:11:40,Server-B,ERROR,91.46,144.09
LOG-300,2026-02-10 06:18:13,Server-D,ERROR,85.9,1683.64
LOG-301,2026-03-30 13:40:19,Server-A,CRITICAL,85.6,520.49
LOG-302,2026-01-25 19:21:20,Server-E,CRITICAL,99.34,67.9
LOG-303,2025-12-26 22:50:37,Server-A,ERROR,85.66,622.94
LOG-304,2026-01-17 12:07:53,Server-B,ERROR,87.43,499.72
LOG-305,2026-05-31 20:48:45,Server-B,WARN,97.48,710.8
LOG-306,2026-05-19 16:26:19,Server-B,ERROR,85.65,178.05
LOG-307,2026-03-03 22:20:38,Server-C,INFO,92.94,952.94
LOG-308,2026-04-26 00:04:10,Server-C,ERROR,97.45,483.51
LOG-309,2025-11-21 07:16:54,Server-C,ERROR,98.79,1835.03
LOG-310,2025-06-19 09:53:34,Server-E,ERROR,88.53,368.3
LOG-311,2026-04-16 21:35:49,Server-B,ERROR,90.28,1694.36
LOG-312,2026-05-03 14:00:51,Server-E,ERROR,85.73,914.03
LOG-313,2025-07-24 03:21:06,Server-C,INFO,87.45,101.08
LOG-314,2026-05-31 17:02:31,Server-D,CRITICAL,98.48,1928.78
LOG-315,2025-07-09 11:13:09,Server-C,CRITICAL,97.26,1467.55
LOG-316,2026-04-22 04:43:13,Server-C,INFO,86.88,313.9
LOG-317,2025-07-12 16:37:10,Server-B,INFO,92.88,1075.87
LOG-318,2025-09-06 09:52:38,Server-A,WARN,98.92,1913.05
LOG-319,2025-11-06 15:17:26,Server-E,INFO,85.83,703.08
LOG-320,2025-07-25 12:02:01,Server-E,INFO,96.5,679.99
LOG-321,2026-05-03 01:24:33,Server-B,CRITICAL,90.45,611.9
LOG-322,2025-12-28 05:44:55,Server-D,ERROR,92.09,1231.69
LOG-323,2026-03-22 18:02:39,Server-C,ERROR,86.16,1090.84
LOG-324,2025-11-13 13:11:27,Server-E,INFO,97.27,880.81
LOG-325,2026-03-12 17:16:32,Server-E,CRITICAL,93.39,1006.97
LOG-326,2026-04-25 02:47:29,Server-B,CRITICAL,86.21,1487.31
LOG-327,2026-04-13 16:30:09,Server-A,WARN,90.3,1982.72
LOG-328,2025-11-27 02:41:16,Server-E,CRITICAL,95.71,1918.03
LOG-329,2026-03-28 04:03:39,Server-D,CRITICAL,90.62,911.93
LOG-330,2025-08-07 15:53:55,Server-D,WARN,91.54,1957.68
LOG-331,2026-05-16 11:18:54,Server-D,CRITICAL,85.75,1972.97
LOG-332,2025-11-25 03:55:05,Server-C,INFO,99.42,386.51
LOG-333,2026-02-10 08:42:35,Server-E,INFO,89.11,114.06
LOG-334,2025-08-17 15:36:51,Server-C,WARN,97.32,364.41
LOG-335,2025-06-25 02:50:59,Server-E,CRITICAL,97.06,1608.67
LOG-336,2025-12-14 12:29:53,Server-E,CRITICAL,91.66,649.52
LOG-337,2026-04-30 21:27:18,Server-E,INFO,88.37,649.69
LOG-338,2025-07-07 01:36:08,Server-B,CRITICAL,96.95,546.24
LOG-339,2026-05-24 09:47:48,Server-D,WARN,96.8,683.94
LOG-340,2026-05-29 00:53:28,Server-D,WARN,95.9,1537.45
LOG-341,2025-07-01 23:32:31,Server-C,INFO,95.9,413.25
LOG-342,2026-01-21 11:20:58,Server-C,INFO,96.13,824.03
LOG-343,2025-09-26 19:12:55,Server-D,CRITICAL,93.89,860.76
LOG-344,2025-10-20 22:54:55,Server-E,INFO,96.46,121.02
LOG-345,2025-06-30 04:34:05,Server-C,INFO,92.45,1922.59
LOG-346,2025-07-05 20:44:53,Server-B,CRITICAL,87.54,933.38
LOG-347,2025-08-05 10:41:27,Server-C,INFO,86.95,202.18
LOG-348,2025-10-28 05:17:02,Server-D,INFO,91.66,888.2
LOG-349,2025-06-27 17:00:43,Server-E,INFO,85.58,1440.92
LOG-350,2025-11-23 13:47:00,Server-C,INFO,86.93,382.82
LOG-351,2025-07-06 17:20:42,Server-E,INFO,98.65,1771.65
LOG-352,2025-09-22 16:17:44,Server-A,CRITICAL,98.65,295.56
LOG-353,2025-11-25 16:51:55,Server-E,WARN,95.18,169.71
LOG-354,2026-01-19 00:30:07,Server-D,INFO,90.36,142.96
LOG-355,2026-04-19 10:54:05,Server-A,WARN,87.7,163.07
LOG-356,2025-09-15 23:26:53,Server-C,CRITICAL,99.46,1241.02
LOG-357,2025-09-14 08:41:30,Server-B,INFO,89.77,1779.11
LOG-358,2026-01-04 08:07:51,Server-D,CRITICAL,96.23,540.66
LOG-359,2025-07-27 18:56:35,Server-B,ERROR,89.91,1521.89
LOG-360,2026-05-08 01:00:08,Server-C,ERROR,90.25,798.09
LOG-361,2026-01-07 20:59:58,Server-B,ERROR,92.97,704.17
LOG-362,2025-10-03 02:46:22,Server-B,CRITICAL,97.63,1659.98
LOG-363,2025-06-26 06:46:56,Server-A,WARN,93.27,879.81
LOG-364,2025-11-23 08:21:13,Server-B,WARN,88.87,334.81
LOG-365,2025-10-20 21:49:33,Server-E,INFO,95.64,889.78
LOG-366,2025-08-03 11:15:54,Server-D,WARN,94.27,1486.08
LOG-367,2026-02-08 10:30:16,Server-A,INFO,94.88,1615.2
LOG-368,2025-08-02 03:56:28,Server-E,WARN,88.26,196.73
LOG-369,2025-06-26 05:32:24,Server-B,INFO,90.94,1997.06
LOG-370,2025-11-01 02:35:09,Server-E,WARN,91.72,737.93
LOG-371,2025-12-16 05:50:46,Server-C,ERROR,86.66,1040.24
LOG-372,2026-03-03 16:22:27,Server-C,ERROR,90.61,889.69
